Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_0_:20	_none_	88	0	+0.211	0	1	0	0	1	1	+200.080	+0.875	-0.001	+0.553	+17.825	
wt	_seg_1_:20	_none_	76	0	+0.211	0	1	0	0	1	1	+150.060	-0.020	-0.001	+0.927	+9.416	
wt	21	_none_	178	1	+0.235	0	2	0	0	1	1	+192.934	+0.008	-0.001	+0.901	-7.405	
wt	_seg_0_:21	_none_	172	0	+0.235	2	3	0	0	1	1	+192.934	-0.001	-0.001	+0.778	-33.492	
wt	22	_none_	180	1	+0.027	1	2	0	0	1	1	+120.048	+0.002	-0.001	+0.681	+96.494	
wt	_seg_0_:22	_none_	172	0	+0.027	0	1	0	0	1	1	+120.048	+0.004	-0.001	+0.627	+97.007	
wt	23	ascus;ascus;normal;normal;	181	3	+0.002	1	2	0	0	1	1	+150.060	+0.004	-0.001	+0.898	-12.729	
wt	_seg_0_:23	ascus;ascus;normal;normal;	48	0	+0.002	0	1	0	0	1	1	+144.058	-0.105	-0.001	+3.288	+23.403	
wt	_seg_1_:23	ascus;ascus;normal;normal;	36	0	+0.002	0	0	0	0	1	0	+154.347	+0.967	-0.001	+0.799	+7.706	
wt	_seg_2_:23	ascus;ascus;normal;normal;	84	0	+0.002	2	2	0	0	1	1	+174.263	-0.573	-0.002	+0.404	+2.710	
wt	24	ascus;normal;	181	2	+0.000	5	4	0	0	1	1	+385.869	+0.709	+0.035	+0.622	+11.309	
wt	_seg_0_:24	ascus;normal;	48	0	+0.000	2	0	0	0	1	0	+411.593	+2.969	-0.001	+0.491	+9.995	
wt	_seg_1_:24	ascus;normal;	124	0	+0.000	0	0	0	0	1	1	+227.364	+0.016	-0.001	+0.527	-57.993	
wt	27	normal;	181	3	+0.097	0	1	0	0	1	1	+138.517	+0.008	-0.001	+0.765	+23.944	
wt	_seg_0_:27	normal;	64	0	+0.097	0	1	0	0	1	1	+160.064	+0.126	-0.001	+0.887	+7.577	
wt	_seg_1_:27	normal;	36	0	+0.097	0	0	0	0	1	0	+144.058	-0.144	-0.001	+2.782	+14.319	
wt	_seg_2_:27	normal;	68	0	+0.097	0	1	0	0	1	1	+154.347	+0.026	-0.001	+0.455	+47.881	
wt	28	_none_	181	2	+0.000	2	1	0	0	1	1	+229.879	+6.730	+0.032	+0.409	+10.689	
wt	_seg_0_:28	_none_	40	0	+0.000	0	0	0	0	1	1	+240.096	-0.575	-0.001	+0.923	+5.213	
wt	_seg_1_:28	_none_	132	0	+0.000	0	1	0	0	1	1	+137.343	+0.009	-0.001	+1.061	-51.853	
wt	29	ascus;normal;	180	2	+0.002	3	2	0	0	1	0	+400.160	+3.134	+0.004	+0.540	+30.713	
wt	_seg_0_:29	ascus;normal;	120	0	+0.002	2	1	0	0	1	1	+400.160	+0.019	-0.001	+5.266	-102.603	
wt	_seg_1_:29	ascus;normal;	48	0	+0.002	0	1	0	0	1	1	+576.230	+3.678	+0.006	+0.487	+3.466	
wt	30	normal;ascus;	181	2	+0.000	0	0	0	0	1	1	+161.259	-1.468	+0.027	+0.136	+35.613	
wt	_seg_0_:30	normal;ascus;	72	0	+0.000	0	0	0	0	1	1	+160.064	+0.006	-0.001	+0.927	+6.883	
