frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
146,544.658,471.715,31.83,1265,0.773,271.44599999999997,50.602,0.21600000000000003,146,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
147,545.034,472.783,32.376,1292,0.809,251.40400000000002,50.81,0.257,147,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
148,545.354,473.765,28.316999999999997,1014,0.7390000000000001,263.203,45.593999999999994,0.184,148,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
149,544.101,472.32800000000003,33.227,1292,0.785,269.061,49.50899999999999,0.22399999999999998,149,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
150,544.538,472.647,32.686,1279,0.7909999999999999,270.132,49.821000000000005,0.22,150,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
151,546.549,473.11800000000005,31.935,1217,0.737,305.487,48.522,0.16399999999999998,151,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
152,545.746,473.94199999999995,33.298,1282,0.762,306.215,49.02,0.172,152,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
153,545.805,473.11699999999996,33.21,1264,0.754,309.83099999999996,48.461000000000006,0.165,153,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
154,546.681,472.28,32.861,1257,0.7829999999999999,243.84799999999998,48.703,0.266,154,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
155,546.809,471.69,33.189,1256,0.7609999999999999,309.83099999999996,48.184,0.16399999999999998,155,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
156,545.5509999999999,472.045,31.34,1186,0.7440000000000001,284.274,48.183,0.184,156,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
